label,text
否定/拒绝,不要处理
否定/拒绝,哦不要不要
重复,什么你讲
运营商提示音,这个问题还是他亲自解答比较好。我稍后把问题转达给他
电话号码,发给我你的电话号码
否定/拒绝,嗯好我现在不需要说的时候
恢复词,最近正打算
没通过怎么办,怎么老是审核不通过
咨询放款速度,放款慢不慢啊
怎么提额,一般多长时间可以提额
肯定,喂嗯对喂
什么平台,我说你是哪里的你是哪的你是还呗的工作人员吗？
没通过怎么办,为什么一直不审批通过
咨询放款速度,嗯你们审批需要多久呢？
额度太少,啊不好意思你的额度太小了我不想用
不舒服,咳嗽比较严重
肯定,我这就去注册
在忙/在开会/在开车,没空我马上要出差后面再说吧
嗯啊哦额/模糊回答,我
咨询提前还款,想问下提前还款怎么换的
否定/拒绝,今天没办法
肯定,啊我的高江华
肯定,当然
肯定,搞好了
咨询利息/费用,多少利息个点
投诉,个逼
肯定,啊是的干嘛呀
没通过怎么办,审核天天是不通过
咨询提前还款,我要提醒还全款可以吗
没印象,好像没印象了
期数,我可以选择分期半年吗
在忙/在开会/在开车,我现在有点忙你等会打过来吧
肯定,需要
肯定,哦行吧
号码是哪来的,哪里拿
电话号码,怎样联系你
额度太少,不够啊
肯定,我是xx请问有什么事
打错了,不是的诶你打错了
咨询放款速度,放款速度
咨询利息/费用,利息呢
申请条件,你们这个申请条件说一下吧
额度太少,额度太低了
额度用途,额度可以提现到银行卡吗
肯定,啊对我是
咨询提前还款,我想提前还完
什么平台,哪个保险公司的呀
恢复词,大致讲一下
骗子/骗人,我要怎么相信你呢
肯定,我说我有那个app
肯定,恩好的好的
骗子/骗人,上当
什么平台,您贵姓
咨询操作,怎么借款
犹豫中/考虑下,你让我想想
没通过怎么办,没通过不显示
打错了,我不知道装修好谢谢打错了
质疑机器人,你难道机器人
肯定,哎好好的好吧
什么平台,你是哪里你是谁
提额券,怎么提升我的额度
肯定,是是是
不舒服,脚麻了僵硬了
否定/拒绝,不能通过此方式还款
否定/拒绝,没有。没有。
嗯啊哦额/模糊回答,嗯。恩
加下微信/发信息/发个短信/发资料,短信信息给我
肯定,啊我是你说
咨询利息/费用,咋算为什么费用
没通过怎么办,我怎么不通过
咨询提前还款,我已经提交了提前还款
额度太少,额：度太？低了你？要都有个几万块钱的话怎么还是用了
咨询额度-通用,优质客户才一千二嘛
没通过怎么办,为不申请啥通过
上征信,对征信有没有影响
投诉,我已经报警了
没通过怎么办,申请老是不通过；啊怎么回事
咨询额度-通用,呃你刚才说提升什么
恢复词,喂你好啊
重复,什；么鬼
肯定,嗯好的好的谢谢
投诉,没贷过款再打报警
否定/拒绝,不开
肯定,嗯是谭丽元
投诉,投诉热线是多少
肯定,嗯稍等很好谢谢
申请条件,条件什么需要
什么平台,你没名字吗
征信不好,征信不好能贷款吗
打过了/不要打电话,这是你今天给我打的第5次电
申请条件,多少万能申请呀
没印象,什么时候申请的不记得了
重复,说啥的什么意思
肯定,嗯嗯是的
快说重点,别扯没用的
咨询利息/费用,费有多。少
咨询利息/费用,逾期费几厘的利息
肯定,哦知道了
咨询放款速度,多长时间可以拿到钱
肯定,嗯好
肯定,是呀干嘛
什么平台,哪哪个
咨询利息/费用,为何费用怎么说
否定/拒绝,再不买
肯定,嗯对你好
人工服务,转人工客服
肯定,对呀情况
肯定,好我知道了谢谢
咨询利息/费用,可怕费用高不高
肯定,咋了就是我
什么平台,是哪里？怎么了
人工服务,转转账人工客服
咨询额度-通用,呃这么一点怎么够用呢
肯定,是的我是你是哪位
没通过怎么办,都有了为什么申请不通过呢阿！
没通过怎么办,审核不通过怎么反馈
肯定,行没问题。
犹豫中/考虑下,让我再好好考虑一下
投诉,老逼
额度太少,额度啊低了不用了谢谢太
运营商提示音,我会根据主讲的你还有别的事
咨询APP名字,我没有下app
肯定,嗯可以的可以的
咨询提前还款,提前申请还款啥时候还
恢复词,是啊你讲。
咨询操作,嗯怎么操！作？呢
没通过怎么办,借款。好几次都不通过
恢复词,您好您好您好您好您好
投诉,我要去银监局举报
没通过怎么办,他我怎么不通过
咨询利息/费用,利息咋计算
恢复词,喂 你好
恢复词,那你跟我说
什么平台,你是什么保险呢
号码是哪来的,你为什么知道道我资料
肯定,恩好谢谢你啊
上征信,征信会不会受到影响
肯定,我说对对对
人工服务,我：想到转人工
咨询额度-通用,最高能升到多少额度
恢复词,嗯你说
申请条件,几岁能提交呀
标记号码,你的外显号码被标记了
骗子/骗人,你们值得信任吗
否定/拒绝,哎不要了不要才两千多块钱什么时候
加下微信/发信息/发个短信/发资料,给我发一下信息息
电话号码,联系方式是什么
犹豫中/考虑下,考虑一下以后再说
期数,借款分几期
加下微信/发信息/发个短信/发资料,资料料发我看看
肯定,哎我是
在忙/在开会/在开车,我在忙
号码是哪来的,你怎么知道道我的号码
投诉,我要电话举报你们骚扰我
加下微信/发信息/发个短信/发资料,资料料发我
咨询利息/费用,多少逾期费
咨询操作,怎么提现呢
没通过怎么办,现在我额度提现不通过
投诉,沙比
打过了/不要打电话,你们打了几次我的电话
什么平台,嗯你大都会是什么
肯定,手机上有app
肯定,我就是你说
加下微信/发信息/发个短信/发资料,能说一下你们的微信息信息号公众号吗
犹豫中/考虑下,回来再说
否定/拒绝,不认识
投诉,我要报警
运营商提示音,明白了待会我就跟他说还有别的事吗
在忙/在开会/在开车,其它的方法方式我正在开会等会儿给我打电话
操作繁琐,APP步骤也太多了
咨询提前还款,可以提前还吗
咨询操作,欠款怎么贷款
否定/拒绝,我不贷款
运营商提示音,你好我是机主的语音秘书他在忙请问你有什么事
肯定,哦哦好的好的谢了
投诉,神经病
质疑机器人,你到底是真人吗还是你们那个啥子 说话弄个一腾一腾的
肯定,诶是啊。
投诉,神经
投诉,报警的
号码是哪来的,怎么有的我的电话话号码
打错了,不是不是你打错了
没通过怎么办,我芝麻分？在！600为什么还是不通过
犹豫中/考虑下,考虑中
打错了,你打错了我不是
肯定,嗯。对的
人工服务,转接。人工？工作台
咨询APP名字,什么哪个APP
肯定,我这就去办理
不舒服,大姨妈来了肚子疼
期数,一般能分多少期
否定/拒绝,没有这个需求
咨询额度-通用,60左右可以贷吗
什么平台,你姓名是什么
咨询额度-通用,单次最高可以借多少
在忙/在开会/在开车,我在开会
质疑机器人,你录音回复的吗
什么平台,呃是你们是哪里啊
恢复词,讲话嘛？
肯定,能呢？能听到
否定/拒绝,不能及时还款
肯定,我下载了
否定/拒绝,暂时不需要啊
咨询操作,我怎么查看呢
恢复词,你给说说说
号码是哪来的,你咋知道道我号码
咨询利息/费用,费为什么是怎么计算的
咨询提前还款,已转提前结清预约什么时候才能还款
肯定,嗯是是
否定/拒绝,我没有
咨询操作,嗯怎么开通呢
否定/拒绝,现在不需要这个
否定/拒绝,没有的
咨询利息/费用,说一下说是利息
咨询提前还款,可以全额还款吗
号码是哪来的,信息息你怎么会
操作繁琐,APP操作麻烦得很
没通过怎么办,为什么我申请贷款通过不通过没反应？
犹豫中/考虑下,不急要过段时间再考虑
在忙/在开会/在开车,我在开车。晚点再说
额度太少,我都说你们来说的额度太小了
肯定,那个红四我就是我呃
咨询利息/费用,利息讲；一下
咨询利息/费用,利息？几厘
什么平台,啥子地方
肯定,嗯对啊我是不好意思我忘记了感谢谢谢
加下微信/发信息/发个短信/发资料,发条短信
额度太少,三万不够
咨询利息/费用,几分！利
在忙/在开会/在开车,现在不行我在忙
恢复词,你简单介绍一下
肯定,哦行好谢谢
质疑机器人,录音
投诉,我被骗了报警了
运营商提示音,估计是信号不太好有事你继续说等下会转告给他的拜拜啦
打错了,不是我的电话
加下微信/发信息/发个短信/发资料,微信息信息
打过了/不要打电话,给我打电话都么有通话记录
咨询额度-通用,是最高授权额度50000吗
咨询放款速度,时效放款多长时间
肯定,没错是我
没通过怎么办,什么原因没法没有通过
肯定,哦是啊
恢复词,大致讲讲
额度太少,喂你们这儿额度太低了
电话号码,客服什么电
运营商提示音,你所拨打的用户暂时无法接通如需留言请按1
咨询提前还款,我想要提前还款
打过了/不要打电话,别联系
电话号码,我想知道联系方
号码是哪来的,你们在哪里获取到我的电话话号码
什么平台,好哪位
加下微信/发信息/发个短信/发资料,加下微信息信息吧
运营商提示音,你说的我都记下来了稍后我会告诉他的你也可以一会儿再打电话过来
投诉,老子要投诉
肯定,是。
咨询额度-通用,八百万
在忙/在开会/在开车,我在开会待会处理
没通过怎么办,我已经全？部真实信息 而且！信？用良好为何申请不通过
额度用途,额度有什么用处
额度太少,手机额度越来越低了
质疑数据安全,有没有信息保护啊
在忙/在开会/在开车,过五分钟打给我吧现在没时间
号码是哪来的,哪里搞到我号码码
什么平台,怎么称呼您呢
肯定,啊好谢谢谢谢
肯定,是
犹豫中/考虑下,想一下
没通过怎么办,申请未通过
咨询利息/费用,减免费一点
否定/拒绝,没必要
投诉,怎么投诉你们公司呀
打错了,不是刚女士打错了
否定/拒绝,他现在不在
号码是哪来的,信息息你哪里
肯定,呃可以可以
加下微信/发信息/发个短信/发资料,给我手机机发信息息
加下微信/发信息/发个短信/发资料,你微信息信息号码
额度太少,额度也有点低了吧
否定/拒绝,我不知道这个事
没通过怎么办,没有说过关不通过。
嗯啊哦额/模糊回答,啊嗯
运营商提示音,好的您说的我会立马转达给他祝您生活愉快再见
调戏AI,几岁啦
打过了/不要打电话,天天打烦不烦不要打了
号码是哪来的,怎么知道道我号码
咨询利息/费用,罚息到底多少
咨询操作,！不；会弄呀
质疑机器人,真人还是假人
肯定,啊。是的
咨询提前还款,请问借了之后可以提前还款吗
肯定,好的知道了啊。
投诉,怎么投诉
咨询提前还款,如何提前还款
运营商提示音,好的那这边请问还有什么别的事需要帮转达的嘛
运营商提示音,您好有什么事具体跟我说下我帮您转达
没通过怎么办,审核不是老通过
有信用问题/逾期记录能借款吗,我的征信真的很差影响贷款吗
肯定,可以是
没通过怎么办,我申请取现三两三天了都不通过
投诉,在不接投诉了
加下微信/发信息/发个短信/发资料,那你给我发一份资料料过来啊
肯定,哦好的我晚上弄一下好不好？
肯定,嗯我知道
肯定,怎么了是我
没通过怎么办,有额度审核不通过是怎么回事
电话号码,那能给下你们的联系方式么
号码是哪来的,怎么会拿
肯定,亲好的谢谢
肯定,呃是
肯定,是的我就是
恢复词,你说吧没问题
打错了,额打错了
人工服务,帮我转下：人工
咨询额度-通用,能不能提升额度
咨询操作,？怎么：看呢
没通过怎么办,没通过怎么办
质疑机器人,机器程序
肯定,哎对对对
犹豫中/考虑下,过些时间
咨询提前还款,你别跟我说那么多你就告诉我一句环境多少钱我还给你就得了
申请条件,条件？需要；什么
咨询额度-通用,最低能申请贷款多少
电话号码,你们的电话
加下微信/发信息/发个短信/发资料,留个微信息信息把你们公司资料料发我手机机上
号码是哪来的,怎么找到
恢复词,你再说一点
打过了/不要打电话,请不要重复拨
肯定,我是萌萌吗上进行的吧我过两天就处理
咨询操作,嗯怎么预约呢
骗子/骗人,是骗我的吗
肯定,好我知道我知道嗯好好。
骗子/骗人,我怎么晓得你们真假
肯定,啊我是本人
咨询放款速度,什么时间放款
骗子/骗人,怎么信任
咨询利息/费用,息费最多有多少
号码是哪来的,咋知道道我有购房需
骗子/骗人,不会是骗子吧
肯定,嗯我知道知道
咨询利息/费用,几分利
否定/拒绝,嗯不是
人工服务,我？要转一下人工
电话号码,如何联系你们
否定/拒绝,就我知道我现在有什么我知道我现在不需要用
否定/拒绝,不用了了谢谢
咨询额度-通用,能贷几万
咨询额度-通用,我额度应该用不了了吧上次延时还款
什么平台,什么保险公司呀
质疑机器人,不是真的人
咨询利息/费用,是如何计。算的
打错了,我不是你们打错了
额度太少,！4万也太低了吧
额度太少,嗯不用不用谢谢谢谢两千元太小了
肯定,嗯嗯是
人工服务,转接客服
肯定,还行啊
咨询额度-通用,我能借二十万吗
肯定,我知道谢谢
什么平台,我说你你是哪位啊？
否定/拒绝,没这个意向
肯定,是我本人使用哦已经用了那个两年多了
肯定,是的喂
运营商提示音,好的我会根据主讲的。您还有别的事吗
有印象,有印象啊
质疑数据安全,有没得信息保护呢
咨询额度-通用,能贷多少
肯定,是我本人啊就使用了两三天
肯定,好的好的好的谢谢谢谢啊
否定/拒绝,不太需要
在忙/在开会/在开车,没哟时间我在上班
肯定,肯定
骗子/骗人,我该怎样相信你们
肯定,有了
重复,你说啥
恢复词,简单的说一下
否定/拒绝,不弄了
咨询利息/费用,费用有多高
投诉,客服投诉
肯定,诶可以可以可以可以可以
与银行区别,在你们公司贷款和在银行有差别吗
投诉,你们烦不烦啊天天打电话我要投诉你们
肯定,好好好知道了
否定/拒绝,没有这个想法
肯定,行可以
否定/拒绝,呃没有不用
肯定,喂对
骗子/骗人,别骗我
否定/拒绝,没钱
什么平台,你们要干嘛你谁呀
不舒服,在医院看病了
咨询利息/费用,费用怎么说
咨询额度-通用,3000能借吗
号码是哪来的,我的信息
额度太少,啊到时候再问吧五百块的额度太低了
额度循环,循环额度怎么老是说手速慢啥意思啊
咨询利息/费用,介绍利息
否定/拒绝,还不想
肯定,那办吧
不专业,太不专业；
重复,什么鬼
肯定,啊认识
调戏AI,美女
咨询利息/费用,利息怎么算的
人工服务,转人工
加下微信/发信息/发个短信/发资料,网址址
咨询利息/费用,利息介绍下
骗子/骗人,保障质量
投诉,你们是不是骚扰电话
加下微信/发信息/发个短信/发资料,给我发手机机上
咨询利息/费用,逾期费利息
否定/拒绝,暂时也没打算
否定/拒绝,哦现在没有了
投诉,在呢投诉
质疑机器人,是人还是AI
咨询额度-通用,我的额度能贷多少
肯定,好好的好的好的哎。
恢复词,你说
不舒服,在输液
打过了/不要打电话,再打我就报警
肯定,知情知道
打过了/不要打电话,不要一直打
肯定,啊对
运营商提示音,好的我会告诉机主的还有什么可以帮您吗
工号,那你工号多少呀
咨询操作,不会操作App还款
否定/拒绝,不是我手机号码
号码是哪来的,怎么我号码
投诉,坑人的平台我要起诉你
打错了,恩不是你打错了
肯定,我就是保养啊
电话号码,你电话号码是多少
肯定,哦知道了谢谢
在忙/在开会/在开车,我现在很忙晚点打给我
肯定,可以发过来看看
恢复词,有啊你说
咨询利息/费用,费用太多了
犹豫中/考虑下,我得和孩子商量一下
肯定,可以的我打字
号码是哪来的,哪里获得了我的信息
没印象,没印象
咨询操作,操作方法
打错了,你打错了
否定/拒绝,处理不到
肯定,听到
加下微信/发信息/发个短信/发资料,发一条短信信息给我
人工服务,客服电话多少
没通过怎么办,没有提示审批不通过
否定/拒绝,不可信不要
在忙/在开会/在开车,我现在在开会呢
肯定,知道知道
否定/拒绝,哦哦我这边不确定
咨询提前还款,我没有做分期、我想全部还款、怎么还
什么平台,您是哪单位的
咨询利息/费用,你们的产品利息是多少呢;。
在忙/在开会/在开车,我现在没时间再说
否定/拒绝,不怎样
期数,分36期还行不行
肯定,好的我知道了啊好滴好滴莫问题
打过了/不要打电话,天天打电话
没通过怎么办,为什么二次审核不通过呢？
有印象,嗯知道有印象
有印象,还有印象
电话号码,能告诉我联系方式
没通过怎么办,不通过呢
运营商提示音,服务热线关注微信公众号查询历史的话信息。
否定/拒绝,差
怎么提额,我想知道什么时候提额
咨询利息/费用,费用有889527多少
骗子/骗人,没骗我
在忙/在开会/在开车,我在开车不好意思哈
肯定,有呐
没通过怎么办,审批不通过
咨询操作,怎么一下下款
利息高,利息高不高呀？
没通过怎么办,我昨天就申请了又没说！通过也！没说不：通过？
咨询放款速度,贷款会不会很慢
咨询利息/费用,逾期费一天多少
肯定,对是吧
运营商提示音,Please hold on.
号码是哪来的,怎么知道道我的电话话
恢复词,大概讲下
什么平台,你们哪里的
恢复词,嗯明白你的意思了
调戏AI,我想见你一面
否定/拒绝,恩现在不需要谢谢啊
咨询提前还款,进化后可以提前还清吗
咨询操作,怎么怎看呢
咨询操作,意义操作方法
肯定,认识啊我就是
上征信,上征信吗
肯定,有啊是拿不出啊
质疑机器人,你是语音吗
号码是哪来的,哪里来我的号码
咨询利息/费用,你们利息怎么算逾期费呢
否定/拒绝,暂时还不需要
调戏AI,你有男朋友吗
肯定,嗯我知道我知道
骗子/骗人,贷款你是骗
嗯啊哦额/模糊回答,啊这个
嗯啊哦额/模糊回答,哎
什么平台,你是谁呀？找我干嘛？
肯定,我说我明白
号码是哪来的,怎么会有我的号码
肯定,恩我知道了。
额度太少,你们在这个太少从了
额度太少,呃我知道这个额度太低了晓得所以我
肯定,喂我是你们可以语音语音讲话吗
咨询利息/费用,利息是多少
咨询利息/费用,多少的利息率
投诉,网络呀还打电话投诉咨询你们
恢复词,好吧
重复,；没听：清再说一遍
肯定,是是
上征信,我征信上没
什么平台,你们天天给我打电话做什么啊你谁啊
否定/拒绝,我才不用这些来还
否定/拒绝,不太感兴趣
肯定,嗯好的嗯嗯。
通过率,贷款容易吗
电话号码,你们的客服电话
不舒服,我感冒了
在忙/在开会/在开车,我在开车等下说
否定/拒绝,不加陌生人微信
在忙/在开会/在开车,我在开车晚点再说
投诉,老子要投诉咨询你们我要报警天天打电话骚扰
调戏AI,请你吃饭
咨询额度-通用,一千五百块狗屁呀
投诉,投诉建议
重复,没听懂
申请条件,条件没有限制吗
肯定,对的
利息高,利息有点高
咨询提前还款,贷款用途修改让我提前还款
肯定,知道知道嗯。
运营商提示音,我记下了还有其他事需转告的吗
额度太少,你们：这个；额度也；太少了
额度循环,额度怎么循环
肯定,呃对对呀
肯定,好了。
运营商提示音,值机主任无需留言请挂机
打错了,呃不是打错了
电话号码,您的电话多
肯定,喔知道了谢谢
嗯啊哦额/模糊回答,啊啊啊。
加下微信/发信息/发个短信/发资料,短信
否定/拒绝,不能发不了
肯定,对喂
肯定,嗯是我
号码是哪来的,哪来的我电话
咨询利息/费用,我说可不可以减免一些利息
肯定,嗯下午会办理的放心啊。
不舒服,小孩生病
加下微信/发信息/发个短信/发资料,留个微信息信息
没通过怎么办,我昨天就申请了又没说通过也没不说通过？
人工服务,请问！你是人工；客服吗
否定/拒绝,暂时不计划
骗子/骗人,我觉得不靠谱
肯定,哎是的女士
咨询放款速度,什么时候到款
骗子/骗人,我怎么相信你呢
犹豫中/考虑下,再看吧
否定/拒绝,是不是
操作繁琐,app操作的步骤很繁琐
没通过怎么办,审核不；通过。怎么办
投诉,在线投诉
肯定,啊好的好的嗯。
什么平台,你是哪呀
打过了/不要打电话,不要再给我打电话了再打就拉
肯定,确实是
咨询提前还款,提前还款预约！是多久能从卡里扣钱
否定/拒绝,暂时也没想
额度太少,额度太用了我不想低谢谢啊再见
运营商提示音,你好你好有什么事可以给我说我会帮您转达他的
否定/拒绝,嗯不行
加下微信/发信息/发个短信/发资料,发下欠款信息息
否定/拒绝,那我不要了
调戏AI,你今年几岁
质疑机器人,是程序
肯定,对好
号码是哪来的,哪里我的电话
咨询提前还款,借款能不能提前还款
号码是哪来的,你哪里找的我号码
打错了,你们再打我要举报你们
没印象,忘了这回事了
